tmax,pay_rate,born_ai_mult,ratio,y0,y1,gap,verdict
10,0.000,0.000,0.000,14.656,21.315,-6.660,REFUTE
10,0.000,0.556,0.000,14.656,18.129,-3.473,REFUTE
10,0.000,1.111,0.000,14.656,15.051,-0.395,neutral
10,0.000,1.667,0.000,14.656,12.075,2.580,CONFIRM
10,0.000,2.222,0.000,14.656,9.198,5.457,CONFIRM
10,0.000,2.778,0.000,14.656,6.415,8.241,CONFIRM
10,0.000,3.333,0.000,14.656,3.721,10.935,CONFIRM
10,0.000,3.889,0.000,14.656,1.112,13.543,CONFIRM
10,0.000,4.444,0.000,14.656,-1.414,16.070,CONFIRM
10,0.000,5.000,0.000,14.656,-3.863,18.518,CONFIRM
10,0.111,0.000,0.370,15.677,22.842,-7.165,REFUTE
10,0.111,0.556,0.238,15.677,20.452,-4.775,REFUTE
10,0.111,1.111,0.175,15.677,18.135,-2.459,REFUTE
10,0.111,1.667,0.139,15.677,15.889,-0.213,neutral
10,0.111,2.222,0.115,15.677,13.711,1.965,CONFIRM
10,0.111,2.778,0.098,15.677,11.598,4.079,CONFIRM
10,0.111,3.333,0.085,15.677,9.546,6.131,CONFIRM
10,0.111,3.889,0.076,15.677,7.554,8.123,CONFIRM
10,0.111,4.444,0.068,15.677,5.619,10.058,CONFIRM
10,0.111,5.000,0.062,15.677,3.739,11.938,CONFIRM
10,0.222,0.000,0.741,16.356,23.870,-7.514,REFUTE
10,0.222,0.556,0.476,16.356,22.018,-5.662,REFUTE
10,0.222,1.111,0.351,16.356,20.218,-3.861,REFUTE
10,0.222,1.667,0.278,16.356,18.466,-2.110,REFUTE
10,0.222,2.222,0.230,16.356,16.762,-0.406,neutral
10,0.222,2.778,0.196,16.356,15.103,1.253,CONFIRM
10,0.222,3.333,0.171,16.356,13.488,2.868,CONFIRM
10,0.222,3.889,0.152,16.356,11.915,4.441,CONFIRM
10,0.222,4.444,0.136,16.356,10.383,5.973,CONFIRM
10,0.222,5.000,0.123,16.356,8.889,7.467,CONFIRM
10,0.333,0.000,1.111,16.816,24.576,-7.759,REFUTE
10,0.333,0.556,0.714,16.816,23.093,-6.277,REFUTE
10,0.333,1.111,0.526,16.816,21.648,-4.831,REFUTE
10,0.333,1.667,0.417,16.816,20.237,-3.421,REFUTE
10,0.333,2.222,0.345,16.816,18.860,-2.044,REFUTE
10,0.333,2.778,0.294,16.816,17.517,-0.700,REFUTE
10,0.333,3.333,0.256,16.816,16.204,0.612,CONFIRM
10,0.333,3.889,0.227,16.816,14.922,1.894,CONFIRM
10,0.333,4.444,0.204,16.816,13.670,3.146,CONFIRM
10,0.333,5.000,0.185,16.816,12.446,4.370,CONFIRM
10,0.444,0.000,1.481,17.135,25.070,-7.935,REFUTE
10,0.444,0.556,0.952,17.135,23.848,-6.713,REFUTE
10,0.444,1.111,0.702,17.135,22.653,-5.518,REFUTE
